timestamp,name,age,gender,state,news_id,time_spent,device,periodo,best_category
1724254320000,Portie,85,M,Minas Gerais,15,3122,smartwatch,TARDE,politica
1713771198000,Pippy,62,F,Minas Gerais,15,194,tablet,MANHA,politica
1705062880000,York,37,M,Minas Gerais,17,1234,smartphone,TARDE,politica
1727265140000,Abbot,32,M,Minas Gerais,14,3595,smartwatch,MANHA,tecnologia
1715943480000,Abbot,37,M,Minas Gerais,18,2548,smartwatch,MANHA,entretenimento
1707593792000,Ricky,47,M,Minas Gerais,9,636,smartwatch,NOITE,tecnologia
1709611784000,Tate,88,F,Minas Gerais,15,1171,laptop,MADRUGADA,politica
1727204678000,Byram,25,M,Minas Gerais,13,2015,laptop,NOITE,saude
1731102782000,Kristian,85,M,Minas Gerais,2,3072,smartwatch,NOITE,saude
1711174120000,Colin,69,M,Minas Gerais,7,2431,smartphone,MANHA,esporte
1734721784000,Daile,7,F,Minas Gerais,11,1945,desktop,NOITE,tecnologia
1716191128000,Martyn,87,M,Minas Gerais,13,3187,laptop,MANHA,saude
1727443982000,Ilene,60,F,Minas Gerais,16,2066,smartwatch,TARDE,politica
1734258794000,Darbie,70,F,Minas Gerais,10,1524,desktop,MANHA,tecnologia
1734654863000,Marylin,24,F,Minas Gerais,8,687,smartphone,MADRUGADA,esporte
1718455007000,Kris,78,M,Minas Gerais,14,2943,laptop,TARDE,tecnologia
1727845655000,Slade,67,M,Minas Gerais,19,2013,smartphone,MADRUGADA,entretenimento
1716663755000,Lola,56,F,Minas Gerais,3,3511,smartphone,NOITE,tecnologia
1719013743000,Edwin,53,M,Minas Gerais,14,1240,smartwatch,NOITE,tecnologia
1705387798000,Constantine,47,M,Minas Gerais,10,3312,tablet,MANHA,tecnologia
1725087845000,Rosemarie,33,F,Minas Gerais,14,989,laptop,MANHA,tecnologia
1705995780000,Gena,87,F,Minas Gerais,11,2051,smartphone,MANHA,tecnologia
1719116673000,Georgia,56,F,Minas Gerais,5,1379,smartwatch,MADRUGADA,esporte
1725803013000,Forester,43,M,Minas Gerais,18,3586,smartwatch,TARDE,entretenimento
