timestamp,name,age,gender,state,news_id,time_spent,device,periodo,best_category
1707860125000,Bonnibelle,13,F,Paraíba,2,175,tablet,NOITE,saude
1721782546000,Athena,78,F,Paraíba,19,3248,laptop,MADRUGADA,entretenimento
1723058888000,Jacquenetta,45,F,Paraíba,5,2480,tablet,NOITE,esporte
1707972396000,Minerva,42,F,Paraíba,8,2586,tablet,MADRUGADA,esporte
1717231298000,Ulric,51,M,Paraíba,8,2623,laptop,MANHA,esporte
1731910480000,Drusie,58,F,Paraíba,8,2265,laptop,MANHA,esporte
1707377289000,Megen,11,F,Paraíba,1,3049,smartphone,MANHA,tecnologia
1714410889000,Toiboid,79,M,Paraíba,8,2089,smartwatch,TARDE,esporte
1713609788000,Rollo,21,M,Paraíba,3,3372,desktop,MANHA,tecnologia
1705201125000,Roy,32,M,Paraíba,5,862,smartwatch,MADRUGADA,esporte
1713252697000,Madlen,34,F,Paraíba,4,2826,smartphone,MANHA,politica
1731368983000,Otho,81,M,Paraíba,19,2625,laptop,NOITE,entretenimento
1709244848000,Orsa,30,F,Paraíba,14,289,desktop,NOITE,tecnologia
1712356656000,Helaine,19,F,Paraíba,7,3087,desktop,NOITE,esporte
1731227256000,Woodie,17,M,Paraíba,11,1366,smartwatch,MANHA,tecnologia
1717744688000,Marj,14,F,Paraíba,6,1529,smartphone,MANHA,esporte
1733410762000,Iseabal,72,F,Paraíba,7,3036,tablet,TARDE,esporte
1727476650000,Paten,68,M,Paraíba,9,2403,smartwatch,NOITE,tecnologia
1704505141000,Karoly,33,M,Paraíba,1,1436,tablet,MADRUGADA,tecnologia
1704591241000,Jacqui,6,F,Paraíba,16,1768,desktop,MADRUGADA,politica
1708442121000,Margo,84,F,Paraíba,5,3560,tablet,TARDE,esporte
1732987320000,Heriberto,66,M,Paraíba,17,861,smartphone,TARDE,politica
1731959443000,Perice,89,M,Paraíba,17,664,tablet,NOITE,politica
1727278882000,Billie,65,F,Paraíba,10,415,tablet,TARDE,tecnologia
1723787734000,Concettina,53,F,Paraíba,6,2329,smartwatch,MADRUGADA,esporte
1705779753000,Haley,29,F,Paraíba,9,3440,desktop,NOITE,tecnologia
1713489276000,Gretta,45,F,Paraíba,20,2857,laptop,MADRUGADA,entretenimento
1723834868000,Theo,39,M,Paraíba,18,3287,smartphone,NOITE,entretenimento
1730420262000,Caty,41,F,Paraíba,11,3035,desktop,MADRUGADA,tecnologia
1724527538000,Randi,23,F,Paraíba,15,1311,smartwatch,NOITE,politica
1716437680000,Denyse,15,F,Paraíba,17,3562,tablet,MADRUGADA,politica
1718989466000,Jonie,44,F,Paraíba,16,626,desktop,TARDE,politica
1732474797000,Danit,23,F,Paraíba,1,1104,desktop,NOITE,tecnologia
1710083821000,Earlie,42,M,Paraíba,14,320,laptop,TARDE,tecnologia
1716696788000,Trstram,17,M,Paraíba,20,3425,smartphone,MADRUGADA,entretenimento
1722408930000,Gwennie,69,F,Paraíba,7,3478,tablet,MANHA,esporte
1732409371000,Layton,82,M,Paraíba,7,1269,laptop,MADRUGADA,esporte
1716967227000,Elston,22,M,Paraíba,9,905,smartphone,MANHA,tecnologia
