timestamp,name,age,gender,state,news_id,time_spent,device,periodo,best_category
1704840229000,Brett,33,F,Santa Catarina,2,2235,laptop,NOITE,saude
1713063496000,Anna-maria,10,F,Santa Catarina,11,3155,smartphone,MADRUGADA,tecnologia
1707390780000,Donni,69,F,Santa Catarina,8,414,smartphone,MANHA,esporte
1704873789000,Odell,32,M,Santa Catarina,15,2817,desktop,MANHA,politica
1714408401000,Herold,87,M,Santa Catarina,1,1528,desktop,TARDE,tecnologia
1727121516000,Bondie,8,M,Santa Catarina,14,1460,smartphone,NOITE,tecnologia
1727163357000,Winona,80,F,Santa Catarina,19,2631,tablet,MANHA,entretenimento
1727644692000,Joshua,72,M,Santa Catarina,20,1932,laptop,NOITE,entretenimento
1723820072000,Natty,14,M,Santa Catarina,3,1103,smartwatch,TARDE,tecnologia
1710688382000,Fernanda,28,F,Santa Catarina,1,267,tablet,TARDE,tecnologia
1705080380000,Travis,41,M,Santa Catarina,6,1838,tablet,TARDE,esporte
1717508958000,Maurise,31,F,Santa Catarina,2,2887,desktop,TARDE,saude
1731709580000,Chase,27,M,Santa Catarina,4,2649,tablet,NOITE,politica
1722461866000,Bail,57,M,Santa Catarina,1,967,laptop,NOITE,tecnologia
1715623592000,Carry,74,F,Santa Catarina,18,557,smartphone,NOITE,entretenimento
1725909235000,Annadiane,34,F,Santa Catarina,20,3045,smartwatch,NOITE,entretenimento
1710454024000,Cornie,86,F,Santa Catarina,9,2919,laptop,NOITE,tecnologia
1724870216000,Melvyn,34,M,Santa Catarina,2,2654,laptop,NOITE,saude
1705110244000,Finn,29,M,Santa Catarina,9,2603,smartwatch,MADRUGADA,tecnologia
1711303207000,Lulu,81,F,Santa Catarina,16,98,desktop,NOITE,politica
1711793214000,Stefan,78,M,Santa Catarina,18,221,tablet,MANHA,entretenimento
1713184884000,Helga,60,F,Santa Catarina,5,2282,laptop,TARDE,esporte
1718241667000,Lynette,36,F,Santa Catarina,5,636,smartphone,MADRUGADA,esporte
1707309077000,Tanya,20,F,Santa Catarina,6,666,laptop,TARDE,esporte
1716932914000,Vernen,42,M,Santa Catarina,19,1288,tablet,NOITE,entretenimento
1723041130000,Alonzo,11,M,Santa Catarina,16,1025,smartwatch,TARDE,politica
1716601697000,Clayton,29,M,Santa Catarina,18,1046,laptop,MADRUGADA,entretenimento
1722064066000,Jeannette,56,F,Santa Catarina,9,454,tablet,MANHA,tecnologia
1719626719000,Paxon,26,M,Santa Catarina,10,1108,laptop,MADRUGADA,tecnologia
1733217172000,Salvidor,69,M,Santa Catarina,6,1959,smartphone,MANHA,esporte
1716710022000,Hogan,83,M,Santa Catarina,10,2997,tablet,MANHA,tecnologia
1705224277000,Faythe,45,F,Santa Catarina,14,2926,smartwatch,MANHA,tecnologia
1721036630000,Ethelred,12,M,Santa Catarina,10,1713,laptop,MANHA,tecnologia
1717993539000,Rabi,89,M,Santa Catarina,8,2294,laptop,MADRUGADA,esporte
1716852130000,Kate,60,F,Santa Catarina,12,267,tablet,NOITE,saude
1733654959000,Alon,46,M,Santa Catarina,9,2200,smartwatch,MANHA,tecnologia
1705806348000,Barry,15,M,Santa Catarina,7,1907,tablet,MADRUGADA,esporte
1715589861000,Ulberto,39,M,Santa Catarina,3,2106,smartwatch,MANHA,tecnologia
1707602054000,Duane,83,M,Santa Catarina,14,354,tablet,NOITE,tecnologia
1728211625000,Elroy,57,M,Santa Catarina,3,1303,smartwatch,MANHA,tecnologia
1724952708000,Waverley,18,M,Santa Catarina,10,3482,laptop,TARDE,tecnologia
1718017247000,Cheslie,87,F,Santa Catarina,20,2996,tablet,MANHA,entretenimento
1731650680000,Biddy,27,F,Santa Catarina,1,2347,smartphone,MANHA,tecnologia
1723507626000,Fons,85,M,Santa Catarina,6,1156,tablet,MADRUGADA,esporte
1714572575000,Alejandro,15,M,Santa Catarina,16,2665,smartwatch,TARDE,politica
1721351569000,Hansiain,34,M,Santa Catarina,15,2120,smartwatch,MADRUGADA,politica
1715133939000,Latrena,89,F,Santa Catarina,1,562,smartwatch,MADRUGADA,tecnologia
1735465778000,Tyrone,43,M,Santa Catarina,9,553,desktop,MANHA,tecnologia
1711582196000,Anna,54,F,Santa Catarina,20,2073,smartwatch,NOITE,entretenimento
1709478241000,Demetris,88,M,Santa Catarina,3,536,tablet,TARDE,tecnologia
1720404851000,Kendricks,25,M,Santa Catarina,3,2360,laptop,MADRUGADA,tecnologia
1705851796000,Edith,6,F,Santa Catarina,6,901,tablet,TARDE,esporte
1705216473000,Cord,62,M,Santa Catarina,3,1976,laptop,MANHA,tecnologia
1730940362000,Thaddeus,48,M,Santa Catarina,8,1224,smartwatch,MADRUGADA,esporte
1717495451000,Piper,9,F,Santa Catarina,3,2996,desktop,MANHA,tecnologia
1728289670000,Dorian,72,F,Santa Catarina,19,2406,smartwatch,MANHA,entretenimento
1706979538000,Colan,14,M,Santa Catarina,10,2910,tablet,TARDE,tecnologia
1715662060000,Lannie,48,M,Santa Catarina,15,504,laptop,MADRUGADA,politica
