timestamp,name,age,gender,state,news_id,time_spent,device,best_category
1734520686000,Powell,52,M,Sao Paulo,3,1350,desktop,tecnologia
1725284019000,Isa,28,M,Sao Paulo,17,1866,smartphone,politica
1713065260000,Sadye,51,F,Sao Paulo,3,3421,desktop,tecnologia
1713914878000,Cathryn,58,F,Sao Paulo,10,361,smartwatch,tecnologia
1731483410000,Vladamir,88,M,Sao Paulo,8,1511,smartwatch,esporte
1713454269000,Karmen,60,F,Sao Paulo,20,2147,tablet,entretenimento
1717924649000,Bruis,51,M,Sao Paulo,19,1123,laptop,entretenimento
1721764978000,Maisey,67,F,Sao Paulo,15,2917,laptop,politica
1735200521000,Ingelbert,7,M,Sao Paulo,3,2086,smartphone,tecnologia
1727004370000,Hilly,48,M,Sao Paulo,11,650,smartphone,tecnologia
1711931414000,Iolanthe,12,F,Sao Paulo,8,347,smartwatch,esporte
1717056071000,Barnard,86,M,Sao Paulo,18,152,tablet,entretenimento
1715196572000,Lyle,54,M,Sao Paulo,15,3231,smartwatch,politica
1727159039000,Thom,73,M,Sao Paulo,15,1079,tablet,politica
1717177366000,Shelley,52,M,Sao Paulo,8,1763,smartphone,esporte
1722695818000,Sibby,57,F,Sao Paulo,16,1047,smartwatch,politica
1711536178000,Baird,84,M,Sao Paulo,14,1259,smartwatch,tecnologia
1727452043000,Roxane,59,F,Sao Paulo,11,2430,smartphone,tecnologia
1726519938000,Sibyl,71,F,Sao Paulo,20,3262,smartphone,entretenimento
1706712939000,Farris,42,M,Sao Paulo,8,3425,smartphone,esporte
1729513501000,Garvey,40,M,Sao Paulo,10,1200,laptop,tecnologia
1711445633000,Alyce,72,F,Sao Paulo,19,457,smartphone,entretenimento
1731234082000,Christiana,10,F,Sao Paulo,19,1401,tablet,entretenimento
1708679667000,Mable,16,F,Sao Paulo,14,3422,smartwatch,tecnologia
1722719422000,Francesca,66,F,Sao Paulo,20,1716,smartphone,entretenimento
1707402497000,Quinlan,12,M,Sao Paulo,2,2682,tablet,saude
1720965382000,Erminia,27,F,Sao Paulo,14,969,tablet,tecnologia
1707349379000,Celia,46,F,Sao Paulo,9,1030,smartphone,tecnologia
1711470375000,Siward,88,M,Sao Paulo,4,3502,smartphone,politica
1730051508000,Cyndy,61,F,Sao Paulo,2,3401,laptop,saude
1718077796000,Caesar,54,M,Sao Paulo,17,3591,smartwatch,politica
1710424034000,Allen,52,M,Sao Paulo,12,1079,smartwatch,saude
1709063759000,See,32,M,Sao Paulo,5,1228,laptop,esporte
1709047194000,Joleen,32,F,Sao Paulo,2,1754,laptop,saude
1733192761000,Waldon,19,M,Sao Paulo,15,3407,smartwatch,politica
1724953448000,Michell,66,F,Sao Paulo,4,2829,smartwatch,politica
1710716719000,Chrisse,54,M,Sao Paulo,14,3200,smartwatch,tecnologia
1709467792000,Husein,79,M,Sao Paulo,6,2699,tablet,esporte
1710595464000,Ervin,11,M,Sao Paulo,6,651,desktop,esporte
1721493467000,Lilla,52,F,Sao Paulo,9,2631,tablet,tecnologia
1708126774000,Gisela,70,F,Sao Paulo,3,2129,tablet,tecnologia
1728645446000,Arnold,64,M,Sao Paulo,12,2587,smartphone,saude
1712225799000,Gordy,7,M,Sao Paulo,12,802,tablet,saude
1731571700000,Wolfie,60,M,Sao Paulo,4,196,tablet,politica
1707439579000,Parnell,83,M,Sao Paulo,2,1662,smartwatch,saude
1714339364000,Swen,10,M,Sao Paulo,9,3064,smartwatch,tecnologia
1712499286000,Abrahan,40,M,Sao Paulo,5,3124,smartphone,esporte
1717030852000,Mikey,14,M,Sao Paulo,9,1853,desktop,tecnologia
1717523075000,Clarine,75,F,Sao Paulo,7,681,smartwatch,esporte
1713616375000,Hyacintha,46,F,Sao Paulo,1,807,laptop,tecnologia
1718947490000,Elroy,57,M,Sao Paulo,15,2791,smartwatch,politica
1721061417000,Daffie,24,F,Sao Paulo,2,1255,laptop,saude
1728540462000,Bobbee,84,F,Sao Paulo,7,2646,tablet,esporte
1709304764000,Lindy,80,F,Sao Paulo,8,1690,smartwatch,esporte
1704383546000,Corbet,17,M,Sao Paulo,2,1985,smartphone,saude
1731988799000,Abbot,14,M,Sao Paulo,11,2109,laptop,tecnologia
1710662252000,Grete,39,F,Sao Paulo,10,3009,desktop,tecnologia
1730936677000,Rainer,90,M,Sao Paulo,20,3143,desktop,entretenimento
1719989514000,Pippo,49,M,Sao Paulo,20,1239,tablet,entretenimento
1729904430000,Annissa,7,F,Sao Paulo,7,1564,desktop,esporte
1729274715000,Wilhelmina,82,F,Sao Paulo,2,773,tablet,saude
1716237923000,Gerick,34,M,Sao Paulo,5,613,smartwatch,esporte
1725612133000,Earl,78,M,Sao Paulo,1,3415,desktop,tecnologia
1734170731000,Evvie,38,F,Sao Paulo,11,3271,desktop,tecnologia
1726738321000,Mada,81,F,Sao Paulo,6,224,tablet,esporte
1731719518000,Astrid,67,F,Sao Paulo,14,2197,smartphone,tecnologia
1708115134000,Clea,45,F,Sao Paulo,16,906,tablet,politica
1721962597000,Janey,58,F,Sao Paulo,7,1887,laptop,esporte
1733040198000,Madge,11,F,Sao Paulo,12,1843,smartphone,saude
1734453276000,Hendrick,23,M,Sao Paulo,7,2072,tablet,esporte
1707519282000,Dianne,38,F,Sao Paulo,17,2590,desktop,politica
1731906283000,Alick,54,M,Sao Paulo,8,1392,tablet,esporte
1707513091000,Dori,78,F,Sao Paulo,7,1384,smartphone,esporte
1720844053000,Malorie,35,F,Sao Paulo,4,2671,desktop,politica
1727335913000,Samaria,52,F,Sao Paulo,11,2135,smartphone,tecnologia
1722424844000,Wally,31,M,Sao Paulo,14,1357,smartphone,tecnologia
1721091590000,Chloe,74,F,Sao Paulo,11,1829,desktop,tecnologia
1715490698000,Shirline,87,F,Sao Paulo,17,2022,tablet,politica
1729512396000,Patten,13,M,Sao Paulo,10,1112,smartwatch,tecnologia
1705363573000,Jolie,30,F,Sao Paulo,6,1882,tablet,esporte
1718214274000,Georg,18,M,Sao Paulo,19,561,laptop,entretenimento
1734929850000,Wilmette,66,F,Sao Paulo,20,1962,smartwatch,entretenimento
1722345042000,Harrietta,39,F,Sao Paulo,12,2718,smartwatch,saude
1729485269000,Elsa,14,F,Sao Paulo,10,413,tablet,tecnologia
1734903077000,Abey,7,M,Sao Paulo,10,3149,laptop,tecnologia
1715555764000,Astrix,46,F,Sao Paulo,20,3392,smartwatch,entretenimento
1708253557000,Dulcinea,72,F,Sao Paulo,6,2417,smartwatch,esporte
1735539305000,Liana,28,F,Sao Paulo,18,3129,laptop,entretenimento
1706047062000,Salvador,9,M,Sao Paulo,16,1737,desktop,politica
1728939998000,Mallory,35,M,Sao Paulo,15,2215,desktop,politica
1731389279000,Boris,57,M,Sao Paulo,10,648,smartphone,tecnologia
1705424674000,Jaimie,41,F,Sao Paulo,16,376,smartwatch,politica
1727694299000,Rudolf,83,M,Sao Paulo,4,1113,smartwatch,politica
1715323361000,Tracie,41,M,Sao Paulo,16,3050,desktop,politica
1735114918000,Drucie,26,F,Sao Paulo,18,485,laptop,entretenimento
1715255562000,Tarrah,42,F,Sao Paulo,2,965,laptop,saude
1723258136000,Gorden,6,M,Sao Paulo,6,2981,smartwatch,esporte
1725837091000,Cloe,27,F,Sao Paulo,4,1665,smartwatch,politica
